,iso_code,continent,location,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
443,AFG,Asia,Afghanistan,2021-05-12,62718.0,315.0,2713.0,1611.114,69.692,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
898,OWID_AFR,,Africa,2021-05-12,4656979.0,8863.0,125363.0,3473.8070000000002,93.51299999999999,,1340598113.0,,,,,,,,,,,,,,
1341,ALB,Europe,Albania,2021-05-12,131845.0,42.0,2423.0,45814.511,841.9630000000001,,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
1784,DZA,Africa,Algeria,2021-05-12,124682.0,199.0,3350.0,2843.308,76.395,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748
2221,AND,Europe,Andorra,2021-05-12,13470.0,23.0,127.0,174335.081,1643.694,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
2640,AGO,Africa,Angola,2021-05-12,29405.0,259.0,645.0,894.686,19.625,,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
2718,AIA,North America,Anguilla,2021-04-22,,,,,,,15002.0,,,,,,,,,,,,,81.88,
3144,ATG,North America,Antigua and Barbuda,2021-05-12,1240.0,2.0,32.0,12662.364,326.77099999999996,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
3642,ARG,South America,Argentina,2021-05-12,3215572.0,24475.0,68807.0,71147.621,1522.421,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
4080,ARM,Asia,Armenia,2021-05-12,219950.0,354.0,4272.0,74226.335,1441.668,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999
4124,ABW,North America,Aruba,2021-05-11,,,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,
4601,OWID_ASI,,Asia,2021-05-12,45265838.0,452792.0,585684.0,9755.889000000001,126.229,,4639847425.0,,,,,,,,,,,,,,
5074,AUS,Oceania,Australia,2021-05-12,29955.0,9.0,910.0,1174.711,35.686,,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9440000000000001
5517,AUT,Europe,Austria,2021-05-12,633960.0,1194.0,10428.0,70389.945,1157.843,,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
5955,AZE,Asia,Azerbaijan,2021-05-12,328159.0,558.0,4726.0,32365.453999999998,466.11300000000006,,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.7559999999999999
6378,BHS,North America,Bahamas,2021-05-12,10966.0,58.0,215.0,27885.711,546.729,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.8140000000000001
6822,BHR,Asia,Bahrain,2021-05-12,194289.0,1539.0,705.0,114181.32400000001,414.32,,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
7258,BGD,Asia,Bangladesh,2021-05-12,777397.0,1140.0,12045.0,4720.383,73.138,,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
7680,BRB,North America,Barbados,2021-05-12,3957.0,7.0,46.0,13769.657,160.072,,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8140000000000001
8120,BLR,Europe,Belarus,2021-05-12,371405.0,896.0,2661.0,39304.941,281.608,,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
8584,BEL,Europe,Belgium,2021-05-12,1023583.0,3251.0,24630.0,88318.975,2125.178,,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9309999999999999
9000,BLZ,North America,Belize,2021-05-12,12707.0,3.0,323.0,31957.568,812.331,,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.716
9423,BEN,Africa,Benin,2021-05-12,7995.0,0.0,101.0,659.4789999999999,8.331,,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.545
9536,BMU,North America,Bermuda,2021-05-02,,,,,,70.37,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
9969,BTN,Asia,Bhutan,2021-05-12,1257.0,10.0,1.0,1629.057,1.296,,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,,,79.807,1.7,71.78,0.654
10397,BOL,South America,Bolivia,2021-05-12,322578.0,2369.0,13308.0,27634.472999999998,1140.0639999999999,,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,71.51,0.718
10831,BIH,Europe,Bosnia and Herzegovina,2021-05-12,201796.0,284.0,8943.0,61507.888,2725.847,,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
11240,BWA,Africa,Botswana,2021-05-12,49041.0,0.0,751.0,20854.09,319.35400000000004,,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
11682,BRA,South America,Brazil,2021-05-12,15359397.0,76692.0,428034.0,72259.314,2013.715,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88,0.765
12112,BRN,Asia,Brunei,2021-05-12,231.0,1.0,3.0,528.021,6.857,,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
12543,BGR,Europe,Bulgaria,2021-05-12,412814.0,657.0,17150.0,59410.990999999995,2468.178,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.816
12972,BFA,Africa,Burkina Faso,2021-05-12,13387.0,3.0,164.0,640.4259999999999,7.846,,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
13380,BDI,Africa,Burundi,2021-05-12,4233.0,25.0,6.0,355.99,0.505,,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
13852,KHM,Asia,Cambodia,2021-05-12,20695.0,472.0,136.0,1237.815,8.134,,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
14285,CMR,Africa,Cameroon,2021-05-12,74946.0,0.0,1152.0,2823.265,43.397,,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29,0.563
14758,CAN,North America,Canada,2021-05-12,1314420.0,6557.0,24755.0,34826.308,655.898,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.929
15177,CPV,Africa,Cape Verde,2021-05-12,27029.0,320.0,238.0,48614.359000000004,428.06699999999995,,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98,0.665
15310,CYM,North America,Cayman Islands,2021-05-07,,,,,,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
15734,CAF,Africa,Central African Republic,2021-05-12,6866.0,192.0,95.0,1421.602,19.67,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,53.28,0.397
16154,TCD,Africa,Chad,2021-05-12,4891.0,3.0,172.0,297.762,10.470999999999998,,16425859.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,38.4,280.995,6.1,,,5.818,,54.24,0.39799999999999996
16599,CHL,South America,Chile,2021-05-12,1260448.0,3902.0,27384.0,65936.086,1432.5020000000002,,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
17076,CHN,Asia,China,2021-05-12,102671.0,11.0,4846.0,71.333,3.367,,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999
17509,COL,South America,Colombia,2021-05-12,3048719.0,16993.0,79261.0,59916.395,1557.714,,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.767
