,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
443,AFG,Asia,Afghanistan,2021-05-12,62718,315,2713,1611.114,69.692,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
898,OWID_AFR,,Africa,2021-05-12,4656979,8863,125363,3473.807,93.513,,1340598113,,,,,,,,,,,,,,
1341,ALB,Europe,Albania,2021-05-12,131845,42,2423,45814.511,841.963,,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
1784,DZA,Africa,Algeria,2021-05-12,124682,199,3350,2843.308,76.395,,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
2221,AND,Europe,Andorra,2021-05-12,13470,23,127,174335.081,1643.694,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
2640,AGO,Africa,Angola,2021-05-12,29405,259,645,894.686,19.625,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
2718,AIA,North America,Anguilla,2021-04-22,,,,,,,15002,,,,,,,,,,,,,81.88,
3144,ATG,North America,Antigua and Barbuda,2021-05-12,1240,2,32,12662.364,326.771,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
3642,ARG,South America,Argentina,2021-05-12,3215572,24475,68807,71147.621,1522.421,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
4080,ARM,Asia,Armenia,2021-05-12,219950,354,4272,74226.335,1441.668,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
4124,ABW,North America,Aruba,2021-05-11,,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,
4601,OWID_ASI,,Asia,2021-05-12,45265838,452792,585684,9755.889,126.229,,4639847425,,,,,,,,,,,,,,
5074,AUS,Oceania,Australia,2021-05-12,29955,9,910,1174.711,35.686,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
5517,AUT,Europe,Austria,2021-05-12,633960,1194,10428,70389.945,1157.843,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
5955,AZE,Asia,Azerbaijan,2021-05-12,328159,558,4726,32365.454,466.113,,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
6378,BHS,North America,Bahamas,2021-05-12,10966,58,215,27885.711,546.729,,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
6822,BHR,Asia,Bahrain,2021-05-12,194289,1539,705,114181.324,414.32,,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
7258,BGD,Asia,Bangladesh,2021-05-12,777397,1140,12045,4720.383,73.138,,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
7680,BRB,North America,Barbados,2021-05-12,3957,7,46,13769.657,160.072,,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
8120,BLR,Europe,Belarus,2021-05-12,371405,896,2661,39304.941,281.608,,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
8584,BEL,Europe,Belgium,2021-05-12,1023583,3251,24630,88318.975,2125.178,,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
9000,BLZ,North America,Belize,2021-05-12,12707,3,323,31957.568,812.331,,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
9423,BEN,Africa,Benin,2021-05-12,7995,0,101,659.479,8.331,,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
9536,BMU,North America,Bermuda,2021-05-02,,,,,,70.37,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59,
9969,BTN,Asia,Bhutan,2021-05-12,1257,10,1,1629.057,1.296,,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
10397,BOL,South America,Bolivia,2021-05-12,322578,2369,13308,27634.473,1140.064,,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
10831,BIH,Europe,Bosnia and Herzegovina,2021-05-12,201796,284,8943,61507.888,2725.847,,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
11240,BWA,Africa,Botswana,2021-05-12,49041,0,751,20854.09,319.354,,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
11682,BRA,South America,Brazil,2021-05-12,15359397,76692,428034,72259.314,2013.715,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
